job_id,role_name,company_name,description
c6UDpRSoQmeWInqNAAAAAA==,data engineer,apple,"Summary
Posted: Jan 16, 2024
Weekly Hours: 40
Role Number:200533540

Imagine what you can do here. Apple is a place where extraordinary people gather to do their lives best work. Together we create products and experiences people once couldn’t have imagined, and now, can’t imagine living without. It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do.

Key Qualifications

Key Qualifications
• Bachelor’s degree or foreign equivalent in Information Technology, Computer Science, Computer Engineering, Industrial Engineering or related field and 3 years of experience in the job offered or related occupation.
• 1 year of experience with each of the following skills is required:
• Experience facilitating partner training
• Experience with Latin American market
• Payments experience
• Successfully implement new initiatives and programs
• Project Management/Expansion
• Spanish or Portuguese Language: Native knowledge or proficiency in speaking, writing, and reading

Description

Description
APPLE INC has the following available in Austin, Texas. Responsible for operational onboarding of our Apple Pay partners in Latin America. Understand launching and sustaining Apple Pay programs in existing Latin American markets as well as expansion efforts. Support, document, and train regional external partners in Spanish to ensure they understand how to successfully implement Apple Pay. Develop a scalable solution by identifying key opportunities to build and optimize the workstream. Work in a global, matrix, fast-paced environment. Basic program management skills. *International travel required 5%. 40 hours/week.

Apple is an Equal Employment Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities.

Education & Experience

Education & Experience

Additional Requirements

Additional Requirements"
A87shI7ZCGiORQLCAAAAAA==,data engineer,apple,"Summary
Posted: May 30, 2023
Weekly Hours: 40
Role Number:200480666

If you are passionate about empowering organizations through software applications and leading teams that do so, we’d love to hear from you! Hardware Engineering’s Tools and Data Analytics team creates internal applications that make our employee’s lives easier and helps the organization get work done better, faster, and more reliably. In this management role, you will work with leadership and key business stakeholders to prioritize and drive the development and support of web and iOS applications. This is an amazing opportunity to work with a top notch team whose products serve thousands of customers and directly impact how we operate.

Key Qualifications

Key Qualifications
• Passion for developing people and creating products that users love!
• Demonstrated ability to identify trends, develop strategies, and implement solutions.
• Excellent judgment and integrity, with the ability to make sound, timely decisions
• Direct experience managing software development teams (web and/or iOS)
• Well-established capabilities working and influencing cross-functional efforts
• Strong program management and information organization capabilities
• Great written and verbal communication skills; experience presenting to leadership
• 5+ years of relevant management experience
• Experience with single page applications and modern backend and frontend technologies a plus

Description

Description
- Aid in development and execution of the application roadmap, ensuring alignment with charter, business priorities, and customer needs.
- Partner with key stakeholders across the organization to ensure priorities and interdependencies are tracked and understood. Couple these insights with bug and other feedback data points to inform roadmap and feature recommendations.
- Lead a geographically distributed, multi-disciplinary development team in the on-time delivery of high-quality applications leveraging Agile methodologies.
- Ensure applications are designed for scale, performance, and maintainability.

Education & Experience

Education & Experience
BS/BA preferred

Additional Requirements

Additional Requirements"
SO2GzndVjrLszlqVAAAAAA==,data engineer,apple,"Summary
Posted: Sep 29, 2023

Role Number:200501582

Do you love the challenge of solving complex problems that can have a direct and meaningful impact on the company? Do you want to be part of a supportive team that’s constantly learning and having fun while solving tough business problems? We’d love to talk to you if you do!

At Apple, new ideas have a way of quickly becoming outstanding products, services, and customer experiences. Bring passion and dedication to your career, and there's no telling what you could accomplish!
Strategic Data Solutions (SDS) empowers internal partners and optimizes the customer experience by delivering data-driven solutions that mitigate fraud, improve security, and optimize efficiency. Our work touches all parts of Apple, from manufacturing to fulfillment to apps and services. The enormous scale and complexity of the problems and our data present exciting opportunities for pushing the limits of existing data science methods.

As an SDS machine learning engineer, you will work with teams across Apple, using data analysis and predictive modeling techniques to define, build, deploy, and maintain end-to-end operational solutions that have a direct and measurable impact to the company and our customers.

Our commitment to you: We will provide challenging problems that will engage your curiosity. We will provide an organizational culture that values collaboration, problem-solving, and work-life balance. We will provide mentorship to further develop your technical and leadership skills.

Key Qualifications

Key Qualifications
• Practical experience (acquired through work, independent projects, or academic research) in deploying machine learning solutions to answer real-world questions
• Practical experience with implementing data science-related applications in a programming language such as Python, Scala, or Java
• Theoretical understanding of machine learning algorithms and their relative strengths and weaknesses
• Ability to use a querying language such as SQL to extract insights from data
• Demonstrate ability to think holistically about system structures and interactions in order to anticipate technical, business, and customer impact
• Effective communication skills to translate complex concepts and analysis into concise, business-focused solutions
• Team-oriented skills and values to facilitate effective collaboration with business and technical partners

Description

Description
• Engage with stakeholders to translate ambiguous business problems into technical solutions, including finding opportunities, breaking them into solvable segments, defining requirements, assessing level of effort, etc
• Work cooperatively to design data science-driven solutions, balancing the utility of tried-and-true techniques and the benefits of custom solutions
• Collaborate with technical partners to implement robust real-time and batch decisioning in production
• Create reporting and monitor decisioning quality to maintain operational and business metric health
• Investigate trends, assess threat impact, and respond with agile logic changes
• Communicate with stakeholders with varying technical backgrounds and business priorities about your work
• Share what you're learning about novel technologies and methods (in data science, machine learning, data engineering, and software engineering, etc) to improve your team's overall technical capabilities

Education & Experience

Education & Experience
• Graduate degree with research/work experience utilizing data science techniques (including but not limited to Computer Science, Statistics, Political Science, Biology, etc)
• Or Bachelor’s degree with equivalent experience

Additional Requirements

Additional Requirements
• To learn more about opportunities at Apple, visit http://www.apple.com/jobs/us/
• Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants"
4JNNwD4vmdENLoKvAAAAAA==,data engineer,apple,"Summary
Posted: Jan 25, 2024

Role Number:200524889

Do you love understanding every detail of how new technologies work? Join the team that serves as Apple’s nerve center, our Information Systems and Technology group. There are countless ways you’ll contribute here, whether you’re coordinating technology needs for product launches, designing music solutions for retail locations, or ensuring the strength of in-store Wi-Fi connections. From Apple Pay to the Apple website to our data centers around the globe, you’ll help design and manage the massive systems that countless employees and customers rely on every day. You’ll also build custom tools for employees, empowering them to solve complex problems on their own. Join our team, and together we’ll explore all the ways to improve how Apple operates, freeing our employees to do what they do best: craft magical experiences for our customers.

The Global Business Intelligence team provides data services, analytics, reporting, and data science solutions to Apple’s business groups, including Retail, iTunes, Marketing, AppleCare, Operations, Finance, and Sales. These solutions are built on top of a great data platform and leverage multiple frameworks. This position is an extraordinary opportunity for a proficient, experienced, and results-oriented data platform engineer to solve database design and optimization problems and provide a scalable, high-performance and dynamic Enterprise Data Warehouse (EDW) platform!

Key Qualifications

Key Qualifications
• 3+ years experience in relational cloud based database technologies like Snowflake (preferred), Teradata, BigQuery or Redshift
• Demonstrated ability working with Advanced SQL
• Shown experience handling DBA functions, DR strategy, data security, governance, associated automation and tooling for a database platform
• Experience in performance tuning, capacity planning, managing cloud spend and utilization
• Experience with object oriented programming in Python or Java
• Experience with SaaS/PaaS enterprise services on GCP/AWS or Azure is a plus
• Familiarity with in-memory database platforms like SingleStore is a plus
• Experience with Business intelligence (BI) platforms like Tableau, Thought-Spot and Business Objects is a plus
• Good communication and personal skills: ability to interact and work well with members of other functional groups in a project team and a strong sense of project ownership.

Description

Description
As a Cloud Data Platform Engineer, you will be responsible for leading all aspects of a database platform. This would include either database design, database security, DR strategy, develop standard processes, new feature evaluations or analyze workloads to identify optimization opportunities at a system and application level. You will be driving automation efforts to effectively manage the database platform, and build self service solutions for users. You will also be partnering with development teams, product managers and business users to review the solution design being deployed and provide recommendations to optimize and tune. This role will also address any platform wide performance and stability issues. We're looking for an individual who loves to take challenges, takes on problems with imaginative solutions, works well in collaborative teams to build and support a large Enterprise Data Warehouse.

Education & Experience

Education & Experience
Bachelor’s Degree in Computer Science, equivalent or related field

Additional Requirements

Additional Requirements"
oJXeiEPG3y0M1xNVAAAAAA==,data engineer,apple,"Summary
Posted: Jan 25, 2024

Role Number:200530215

Do you love understanding every detail of how new technologies work? Join the team that serves as Apple’s nerve center, our Information Systems and Technology group. There are countless ways you’ll contribute here, whether you’re coordinating technology needs for product launches, designing music solutions for retail locations, or ensuring the strength of in-store Wi-Fi connections. From Apple Pay to the Apple website to our data centers around the globe, you’ll help design and manage the massive systems that countless employees and customers rely on every day. You’ll also build custom tools for employees, empowering them to solve complex problems on their own. Join our team, and together we’ll explore all the ways to improve how Apple operates, freeing our employees to do what they do best: craft magical experiences for our customers.

At Apple, new insights have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. Are you passionate about developing data platforms in Cloud? Do you have it in you to be part of a fast paced growing environment with many exciting responsibilities? If so, Apple’s Global Business Intelligence (GBI) team is looking for highly motivated, detail oriented, technical savvy professionals who like to think creatively!

Key Qualifications

Key Qualifications
• 5+ years of programming experience Java, Scala or Python
• In-depth knowledge of Spark, Ray or other distributed computing frameworks
• Understanding of SQL query engines like Trino, Hive etc.
• Experience with Docker, Kubernetes or EKS
• Experience with debugging issues on distributed systems.
• Knowledge of software engineering practices and standard methodologies for the full software development lifecycle
• Experience with public cloud (AWS/GCP)
• Have created frameworks to deploy platforms in AWS/Azure/GCP.
• Good understanding of AI/ML stack - GPUs, MLFlow, LLM models is plus.
• Experience in building, tuning, scaling, and monitoring applications to process real-time, near-real-time and batch data
• Understanding of data modeling, data warehousing, and ETL concepts is a plus

Description

Description
The GBI Big Data Engineering team is responsible for building and managing data platforms at scale on Cloud, that help Apple process, store and access petabytes of data. We’re looking for a Big Data Engineer with strong understanding of big data and ML platforms, passionate about building and managing cloud infrastructure and can demonstrate to Apple’s high standards. As a part of our team, you’ll be responsible for building and integrating various compute and storage infrastructure using open source or other solutions to aid various critical applications, such as analytic, reporting, AI/ML apps. Additionally, you will be deploying cloud stacks supporting big data and AI/ML platforms, locating production errors and issues.

You are able to communicate effectively, both written and verbal, with technical and non-technical multi-functional teams. You will interact with many other teams to lead and deliver best-in-class products in an exciting fast-paced environment. Dynamic, inquisitive people and inspiring, innovative technologies are the norm here. Will you join us in crafting solutions that do not yet exist?

Education & Experience

Education & Experience
BS in Computer Science or related field or equivalent.

Additional Requirements

Additional Requirements"
yQozyZ31Nx1eNsVnAAAAAA==,data engineer,apple,"Summary Looking for hardworking, passionate and results-oriented individuals to join our team to build data foundations and tools to craft the future of commerce and Apple Pay. You will design and implement scalable, extensible and highly-available data pipelines on large volume data sets, that will enable impactful insights & strategy for payment products. Our culture is about getting things done iteratively and rapidly, with open feedback and debate along the way; we believe analytics is a team sport, but we strive for independent decision-making and taking smart risks. Our team collaborates deeply with partners across product and design, engineering, and business teams:
our mission is to drive innovation by providing the business and data scientist partners outstanding systems and tools to make decisions that improve the customer experience of using our services. This will include using large and complex data sources, helping derive measurable insights, delivering dynamic and intuitive decision tools, and bringing our data to life via amazing visualizations. Collaborating with the head of Wallet Payments & Commerce Data Engineering & BI, this person will collaborate with various data analysts, instrumentation specialists and engineering teams to identify requirements that will derive the creation of data pipelines. You will work closely with the application server engineering team to understand the architecture and internal APIs involved in upcoming and ongoing projects related to Apple Pay. We are seeking an outstanding person to play a pivotal role in helping the analysts & business users make decisions using data and visualizations. You will align with key partners across the engineering, analytics & business teams as you design and build query friendly data structures. The ideal candidate is a self-motived teammate, skilled in a broad set of Big Data processing techniques with the ability to adapt and learn quickly, provide results with limited direction, and choose the best possible data processing solution is a must. Key Qualifications 5
years of professional experience with Big Data systems, data pipelines and data processing Practical hands-on experience with technologies like Apache Hadoop, Apache Pig, Apache Hive, Apache Sqoop & Apache Spark Ability to understand API Specs, identify relevant API calls , extract data and implement data pipelines & SQL friendly data structures Understanding on various distributed file formats such as Apache AVRO, Apache Parquet and common methods in data transformation Expertise in Python, Unix Shell scripting and Dependency driven job schedulers Expertise in Core JAVA, Oracle, Teradata and ANSI SQL Knowledge on Scala and Splunk is a plus Familiarity with rule based tools and APIs for multi stage data correlation on large data sets Description Translate business requirements by business team into data and engineering specifications Build scalable data sets based on engineering specifications from the available raw data and derive business metrics/insights Work with engineering and business partners to define and implement the data engagement relationships required with partners Understand and Identify server APIs that needs to be instrumented for data reporting and analytics and align the server events for execution in already established data pipelines Explore and understand complex data sets, identify and formulate correlational rules between heterogenous data sources for effective analytics and reporting Process, clean and validate the integrity of data used for analysis Develop Python and Shell Scripts for data ingestion from external data sources for business insights Education & Experience Minimum of bachelor's degree, preferably in Computer Science, Information Technology or EE, or relevant industry experience is preferred
Salary Range:
$80K -- $100K
Minimum Qualification
Business Intelligence & AnalyticsEstimated Salary: $20 to $28 per hour based on qualifications"
FzeM2crKZOL_bnA7AAAAAA==,data engineer,apple,"Are you passionate about harnessing the power of data to drive innovation and make a real impact? Do you thrive in a fast-paced and dynamic environment? Apple is seeking a highly skilled and motivated Big Data Engineer to join our team. As a member of our team, you will have the opportunity to work with cutting-edge technologies and play a key role in shaping the future of our products and services. We are looking for a talented individual with a strong foundation in data engineering, a deep understanding of big data technologies, and a passion for solving complex problems. If you are ready to take on new challenges and be a part of a team that is revolutionizing the tech industry, then we want to hear from you!

Develop and maintain data pipelines to efficiently process and analyze large volumes of data.
Collaborate with cross-functional teams to understand business requirements and identify data needs.
Design and implement scalable and reliable data solutions to support business objectives.
Optimize and improve existing data infrastructure and processes.
Stay up-to-date with the latest developments in big data technologies and identify opportunities for their implementation.
Troubleshoot and resolve data-related issues in a timely manner.
Create and maintain technical documentation for data systems and processes.
Implement data security and privacy measures to protect sensitive information.
Conduct performance tuning and optimization of data processes.
Communicate effectively with team members and stakeholders to provide updates on project progress.
Participate in code reviews and provide constructive feedback to team members.
Proactively identify potential issues and propose solutions to improve data quality and integrity.
Collaborate with data scientists to incorporate advanced analytics and machine learning techniques into data processes.
Mentor and coach junior team members on best practices for data engineering.
Take ownership of assigned tasks and deliver high-quality results within tight deadlines.

Apple is an Equal Opportunity Employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics"
7mg9ey4yKA42GzRdAAAAAA==,data engineer,apple,"Summary At Apple, great ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. Would you like to work in a fast-paced environment where your technical abilities will be challenged on a day-to-day basis? If so, Apple's Global Business Intelligence (GBI) team is seeking a Data Engineer to build high quality, scalable and resilient solutions that empowers the business. Apple's Enterprise Data warehouse landscape caters to a wide variety of real-time, near real-time and batch analytical solutions. These solutions are integral part of business functions like Sales, Operations, Finance, AppleCare, Marketing and Internet Services, enabling business drivers to make critical decisions. We leverage a diverse technology stacks such as Snowflake, AWS, Teradata, HANA, Hadoop, Kafka, Spark, Cassandra and beyond. Designing, Developing and scaling these big data technologies are a core part of our daily job. The ideal candidate for this position, should have passion for data, will be able think outside of the box and should have passion for building analytics solutions to enable our business partners to make time sensitive and critical decisions. Key Qualifications Experience in designing and building dimensional data models to improve accessibility, efficiency, and quality of data a plus Database development experience with Relational or MPP/distributed systems such as Oracle/Teradata/Vertica/Hadoop (we need to add aspects of cloud) Programming experience in building high quality software. Skills with Java, Python or Scala preferred Experience in designing and developing ETL data pipelines. Should be proficient in writing Advanced SQLs, Expertise in performance tuning of SQLs Demonstrate strong understanding of development processes and agile methodologies Strong analytical and communication skills Self-driven, highly motivated and ability to learn quick Experience with or advanced courses on data science and machine learning is a plus Work/project experience with big data and advanced programming languages is a plus Experience developing Big Data/Hadoop applications using java, Spark, hive, oozie, Kafka, and Map Reduce is a huge plus Experience with Tableau and BO a plus Description Design and build data structures on MPP platform like Teradata or , Hadoop to provide efficient reporting and analytics capability Design and build highly scalable data pipelines using new generation tools and technologies like SparkSpark and , Kafka Translate complex business requirements into scalable technical solutions, meeting data warehousing design standards Strong understanding of analytics needs and a proactive approach, focusing on reusable solutions to improve the efficiency Build dashboards using Self-Service tools like Tableau and perform iterative data analysis to support business Collaborate with multiple cross functional teams and work on solutions which has larger impact on Apple business Education & Experience Bachelor's Degree Additional Requirements Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants. We at Apple we are committed to working with and providing reasonable accommodation.
Salary Range:
$80K -- $100K
Minimum Qualification
Software DevelopmentEstimated Salary: $20 to $28 per hour based on qualifications"
YTyrRLbKxhmGOTk5AAAAAA==,data engineer,apple,"As a Solutions Engineer, you're part of a team that helps customers introduce Apple technology within their businesses.

Your team meets with business customers to understand their needs, looking for ways Apple can help them compete efficiently and effectively
You educate not only customers, but also your team members about the capabilities of Apple products in the workplace.

Next, you create solutions that are appropriate for your customer's environment by leveraging an extensive knowledge base, tapping your own experience, and collaborating with third-party providers.
Finally, you work with customers to pinpoint the ideal solutions for their needs.

By enabling business customers to use technology more effectively, you not only help them succeed, but also help Apple succeed with businesses.
Apple is an equal opportunity employer.

We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics"
4SdIWlVJOmWTRCo3AAAAAA==,data engineer,apple,"Summary
Posted: Nov 10, 2023
Weekly Hours: 40
Role Number:200515443

We seek a data engineer to own data pipeline design, development, and support for the AIML Data Operations Analytics team. In this position, you will play a key role in expanding the team’s contribution by enabling new data sources, metrics, and models that will deliver insights, support decision making, and optimize organizational performance.

As a key member of our global and dynamic organization, you will have an excellent opportunity for the hands-on development of new pipelines, working with large datasets from diverse datasources, with a commitment to privacy that will require innovative approaches. You'll work collaboratively with partners across the organization to identify and deliver new sources of business value.

Key Qualifications

Key Qualifications
• 4+ years of experience in data engineering, with demonstrated capability in distributed computing technologies (e.g. Spark), ETL, query performance optimization, and modern SDLC methods (e.g., CI/CD, {unit, integration, e2e} testing)
• Mastery of at least one general-purpose programming language, and SQL proficiency
• Passion for building and improving data pipelines that are performant, easy to maintain, and consistently deliver high-quality data products
• Experience in managing projects and delivering results individually and through contractors; Ability to collaborate effectively between business and analytic teams at multiple levels of the organization

Description

Description
You will complement several experienced data scientists forming a team with the responsibility of enabling better decision making across the Data Operations organization and AIML. You will work independently to achieve team goals and guide others technically. Your goal will be to raise the quality and productivity of the team by building services and solutions that unlock the value of the team and the broader organization.

Oversee and be the lead developer on complex data pipelining projects from conception to completion, develop roadmaps and requirements, identify risks and develop contingency plans, and communicate status.
Support existing production systems; triage issues and provide debugging and tracking support to promptly resolve them
Draft schema and instrumentation requirements to enrich operational datasets for new projects, etc.
Deepen and broaden relationships with peer groups and customers.

Education & Experience

Education & Experience
Bachelors degree or equivalent experience in Computer Science, Statistics, Mathematics, Engineering, Economics or related field. Advanced degree in a related field a plus.

Additional Requirements

Additional Requirements
• Interest and experience in analytics and data science
• Familiarity with the functional programming paradigm
• Experience with data Lakehouse architecture; working knowledge of Trino, Iceberg, and Snowflake
• Experience with deploying and managing CI pipeline with Jenkins or similar tools
• Interest in data visualization platforms (e.g., Tableau Server)

Pay & Benefits

Pay & Benefits
• At Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $107,500.00 and $223,500.00, and your base pay will depend on your skills, qualifications, experience, and location.

Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.

Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.

Apple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics"
